id;id_objetivo;llave;meta_id;meta_texto;terminos;met_conc
21;3;3.6;6;Reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo.;accidentes viales  accidentes de tráfico  muerte  lesión  conductor  peatón  transeúnte  velocidad  falla mecánica accidente tránsito  semáforo  casco  bicicleta  moto  carro  camión  bus  buseta  murió  estrelló  fractura  rápido accidentes transporte terrestre   ;3.6 Reducir a la mitad el número de muertes y lesiones causadas por accidentes de tráfico en el mundo.
22;3;3.7;7;Garantizar el acceso universal a los servicios de salud sexual y reproductiva  incluidos los de planificación familiar  información y educación  y la integración de la salud reproductiva en las estrategias y los programas nacionales.;planificación familiar  educación sexual  embarazo  embarazo adolescente  anticoncepción  prevención condon  pastillas  pastas  DIU  dispositivo intrauterino  inyección  necesidades de planificación familiar  niña embarazada  estudio  estudiar actividad sexual reciente  fecundidad mujeres adolescentes  madres embarzadas primer hijo  embarazo subsiguiente   ;3.7 Garantizar el acceso universal a los servicios de salud sexual y reproductiva  incluidos los de planificación familiar  información y educación  y la integración de la salud reproductiva en las estrategias y los programas nacionales.
23;3;3.8;8;Lograr la cobertura sanitaria universal  incluida la protección contra los riesgos financieros  el acceso a servicios de salud esenciales de calidad y el acceso a medicamentos y vacunas inocuos  eficaces  asequibles y de calidad para todos.;acceso salud  medicamento  vacuna  enfermedad  salud  asistencia médica hospital  clínica  hospital  centro médico  servicios de salud esenciales  salud materna  enfermedades infecciosas  controles prenatales  citas médicas  controles médicos  personal sanitario especializado  partera  ginecóloga  falta de atención  mala atención  no hay hospital  urgencias  unidad de cuidados intensivos  uci  neonatal  neonato  hijo  sobrino  nieto  salud y pensión tercera dosis prevalente    vacunación triple viral     ;3.8 Lograr la cobertura sanitaria universal  incluida la protección contra los riesgos financieros  el acceso a servicios de salud esenciales de calidad y el acceso a medicamentos y vacunas inocuos  eficaces  asequibles y de calidad para todos.
24;3;3.9;9;Reducir considerablemente el número de muertes y enfermedades causadas por productos químicos peligrosos y por la polución y contaminación del aire  el agua y el suelo.;calidad del aire  contaminación  contaminantes  enfermedades respiratorias Químicos peligrosos  polución  humo  carbon  leña  agua potable  alcantarillado  intoxicación estaciones de aire   intoxicación sustancias químicas  riesgo de  calidad del agua  IRCA     gastrointestinales  vomito  dearrea  enfermedades de la piel;3.9 Reducir considerablemente el número de muertes y enfermedades causadas por productos químicos peligrosos y por la polución y contaminación del aire  el agua y el suelo.
25;3;3.1;a;Fortalecer la aplicación del Convenio Marco de la Organización Mundial de la Salud para el Control del Tabaco en todos los países  según proceda.;fumar  fumadores  cigarrillo  vicio  viciosos  tabaco  asma  cáncer  pulmon prevalecia consumo de tabaco   ;3.a Fortalecer la aplicación del Convenio Marco de la Organización Mundial de la Salud para el Control del Tabaco en todos los países  según proceda.
26;3;3.11;b;Apoyar las actividades de investigación y desarrollo de vacunas y medicamentos contra las enfermedades transmisibles y no transmisibles que afectan primordialmente a los países en desarrollo y facilitar el acceso a medicamentos y vacunas esenciales asequibles de conformidad con la Declaración relativa al Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio y la Salud Pública  en la que se afirma el derecho de los países en desarrollo a utilizar al máximo las disposiciones del Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio respecto a la flexibilidad para proteger la salud pública y  en particular  proporcionar acceso a los medicamentos para todos.;"salud pública  medicamentos  vacunas  acceso a salud   investigación  apoyar  condón  VIH  sida  cero positivo  prostitución  protección  enfermedades transmisibles  dengue  chikungunya  chicunguña  chagas  vacuna  zika  leishmaniasis  malaria  agua estancada  problemas acueducto  agua potable  enfermedades cardiovasculares  Hipertensión  Infarto  aneurisma  cáncer  tumor  neoplasia  diabetes  enfermedades respiratorias crónicas  asma   la enfermedad pulmonar obstructiva crónica 
 la rinitis alérgica  suicidio    ";3.b Apoyar las actividades de investigación y desarrollo de vacunas y medicamentos contra las enfermedades transmisibles y no transmisibles que afectan primordialmente a los países en desarrollo y facilitar el acceso a medicamentos y vacunas esenciales asequibles de conformidad con la Declaración relativa al Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio y la Salud Pública  en la que se afirma el derecho de los países en desarrollo a utilizar al máximo las disposiciones del Acuerdo sobre los Aspectos de los Derechos de Propiedad Intelectual Relacionados con el Comercio respecto a la flexibilidad para proteger la salud pública y  en particular  proporcionar acceso a los medicamentos para todos.
27;3;3.12;c;Aumentar considerablemente la financiación de la salud y la contratación  el perfeccionamiento  la capacitación y la retención del personal sanitario en los países en desarrollo  especialmente en los países menos adelantados y los pequeños Estados insulares en desarrollo.;enfermero  enfermera  médico  médica  hospital  eps  clínica  invertir  financiar  contratar  asegurar  empleo  capacitar  aumentar  pagar mejor  doctores  especialistas    ;3.c Aumentar considerablemente la financiación de la salud y la contratación  el perfeccionamiento  la capacitación y la retención del personal sanitario en los países en desarrollo  especialmente en los países menos adelantados y los pequeños Estados insulares en desarrollo.
28;3;3.13;d;Reforzar la capacidad de todos los países  en particular los países en desarrollo  en materia de alerta temprana  reducción de riesgos y gestión de los riesgos para la salud nacional y mundial.;gestión riesgo desastres naturales inundación sequía deslizamiento terremoto avalancha ;3.d Reforzar la capacidad de todos los países  en particular los países en desarrollo  en materia de alerta temprana  reducción de riesgos y gestión de los riesgos para la salud nacional y mundial.
29;4;4.1;1;Asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria  que ha de ser gratuita  equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos.;acceso a educación  educación gratuita  niños  niñas  educación  educación primaria  educación secundaria  educación de calidad   cobertura educación primaria  cobertura educación media   primera infancia  educación preescolar  ;4.1 Asegurar que todas las niñas y todos los niños terminen la enseñanza primaria y secundaria  que ha de ser gratuita  equitativa y de calidad y producir resultados de aprendizaje pertinentes y efectivos.
30;4;4.2;2;Asegurar que todas las niñas y todos los niños tengan acceso a servicios de atención y desarrollo en la primera infancia y educación preescolar de calidad  a fin de que estén preparados para la enseñanza primaria.;educación preescolar  primera infancia  jardín infantil  niños  niñas   atención integral primera infancia  cobertura transición  jardín  guardería ;4.2 Asegurar que todas las niñas y todos los niños tengan acceso a servicios de atención y desarrollo en la primera infancia y educación preescolar de calidad  a fin de que estén preparados para la enseñanza primaria.
31;4;4.3;3;Asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica  profesional y superior de calidad  incluida la enseñanza universitaria.;educación superior  educación técnica  técnica  tecnóloga  tecnológica  universitaria  universidad  estudiante  estudiar  cobertura educación superior   ;4.3 Asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica  profesional y superior de calidad  incluida la enseñanza universitaria.
32;4;4.4;4;Aumentar considerablemente el número de jóvenes y adultos que tienen las competencias necesarias  en particular técnicas y profesionales  para acceder al empleo  el trabajo decente y el emprendimiento.;eduación  trabajo  empleo  formación  oferta laboral  acceso educación  emprendimiento  desempleo  mercado laboral  empleo juvenil   ;4.4 Aumentar considerablemente el número de jóvenes y adultos que tienen las competencias necesarias  en particular técnicas y profesionales  para acceder al empleo  el trabajo decente y el emprendimiento.
33;4;4.5;5;Eliminar las disparidades de género en la educación y asegurar el acceso igualitario a todos los niveles de la enseñanza y la formación profesional para las personas vulnerables  incluidas las personas con discapacidad  los pueblos indígenas y los niños en situaciones de vulnerabilidad.;educación inclusiva  personas con discapacidad  grupos étnicos  indígenas  mujeres    brecha educativa  cobertura urbano rural   ;4.5 Eliminar las disparidades de género en la educación y asegurar el acceso igualitario a todos los niveles de la enseñanza y la formación profesional para las personas vulnerables  incluidas las personas con discapacidad  los pueblos indígenas y los niños en situaciones de vulnerabilidad.
34;4;4.6;6;Asegurar que todos los jóvenes y una proporción considerable de los adultos  tanto hombres como mujeres  estén alfabetizados y tengan nociones elementales de aritmética.;educación básica colegio escuela  lectura  escritura  matemáticas  analfabetismo leer escribir   ;4.6 Asegurar que todos los jóvenes y una proporción considerable de los adultos  tanto hombres como mujeres  estén alfabetizados y tengan nociones elementales de aritmética.
35;4;4.7;7;Asegurar que todos los alumnos adquieran los conocimientos teóricos y prácticos necesarios para promover el desarrollo sostenible  entre otras cosas mediante la educación para el desarrollo sostenible y los estilos de vida sostenibles  los derechos humanos  la igualdad de género  la promoción de una cultura de paz y no violencia  la ciudadanía mundial y la valoración de la diversidad cultural y la contribución de la cultura al desarrollo sostenible.;educación desarrollo sostenible  cultura de paz   diversidad ;4.7 Asegurar que todos los alumnos adquieran los conocimientos teóricos y prácticos necesarios para promover el desarrollo sostenible  entre otras cosas mediante la educación para el desarrollo sostenible y los estilos de vida sostenibles  los derechos humanos  la igualdad de género  la promoción de una cultura de paz y no violencia  la ciudadanía mundial y la valoración de la diversidad cultural y la contribución de la cultura al desarrollo sostenible.
36;4;4.8;a;Construir y adecuar instalaciones educativas que tengan en cuenta las necesidades de los niños y las personas con discapacidad y las diferencias de género  y que ofrezcan entornos de aprendizaje seguros  no violentos  inclusivos y eficaces para todos.;educación inclusiva  personas con discapacidad ;4.a Construir y adecuar instalaciones educativas que tengan en cuenta las necesidades de los niños y las personas con discapacidad y las diferencias de género  y que ofrezcan entornos de aprendizaje seguros  no violentos  inclusivos y eficaces para todos.
37;4;4.9;b;Aumentar considerablemente a nivel mundial el número de becas disponibles para los países en desarrollo  en particular los países menos adelantados  los pequeños Estados insulares en desarrollo y los países africanos  a fin de que sus estudiantes puedan matricularse en programas de enseñanza superior  incluidos programas de formación profesional y programas técnicos  científicos  de ingeniería y de tecnología de la información y las comunicaciones  de países desarrollados y otros países en desarrollo.; educación  beca  programa educativo ciencia teconología ingeniería tecnológico icetex      ;4.b Aumentar considerablemente a nivel mundial el número de becas disponibles para los países en desarrollo  en particular los países menos adelantados  los pequeños Estados insulares en desarrollo y los países africanos  a fin de que sus estudiantes puedan matricularse en programas de enseñanza superior  incluidos programas de formación profesional y programas técnicos  científicos  de ingeniería y de tecnología de la información y las comunicaciones  de países desarrollados y otros países en desarrollo.
38;4;4.1;c;Aumentar considerablemente la oferta de docentes calificados  incluso mediante la cooperación internacional para la formación de docentes en los países en desarrollo  especialmente los países menos adelantados y los pequeños Estados insulares en desarrollo.;maestro  profesor  profesora  escuelas  enseñar  enseñanza     ;4.c Aumentar considerablemente la oferta de docentes calificados  incluso mediante la cooperación internacional para la formación de docentes en los países en desarrollo  especialmente los países menos adelantados y los pequeños Estados insulares en desarrollo.
39;5;5.1;1;Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo.;discriminación  mujer  niña  género  violencia basada en género  paridad de género  igualdad de género igualdad  brecha;5.1 Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo.
40;5;5.2;2;Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado  incluidas la trata y la explotación sexual y otros tipos de explotación.;sexual  maltrato violación  celos  celar infiel  abandonar  pareja  novio  exnovio  ex  expareja  esposo  sexuales forzados  feminicidio mujeres  maltrato psicológico;5.2 Eliminar todas las formas de violencia contra todas las mujeres y las niñas en los ámbitos público y privado  incluidas la trata y la explotación sexual y otros tipos de explotación.
41;5;5.3;3;Eliminar todas las prácticas nocivas  como el matrimonio infantil  precoz y forzado y la mutilación genital femenina.;matrimonio infantil  niña  mujer  mutilación genital casada  union libre  hombre mayor  ablación genital casadas niñas  unión estable niñas   ;5.3 Eliminar todas las prácticas nocivas  como el matrimonio infantil  precoz y forzado y la mutilación genital femenina.
42;5;5.4;4;Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos  infraestructuras y políticas de protección social  y promoviendo la responsabilidad compartida en el hogar y la familia  según proceda en cada país.;trabajo doméstico  ama de casa  trabajo en el hogar  mujer  cuidado del hogar cuidado  abuelo  anciano  no remunerado  no pago quehaceres domésticos    ;5.4 Reconocer y valorar los cuidados y el trabajo doméstico no remunerados mediante servicios públicos  infraestructuras y políticas de protección social  y promoviendo la responsabilidad compartida en el hogar y la familia  según proceda en cada país.
43;5;5.5;5;Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política  económica y pública.;representación de la mujer  paridad de género  igualdad de género  lideresa mujeres jefes  directoras  coordinadoras  alcaldesa  gobernadora  senadora mujeres candidatas   ;5.5 Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política  económica y pública.
44;5;5.6;6;Asegurar el acceso universal a la salud sexual y reproductiva y los derechos reproductivos según lo acordado de conformidad con el Programa de Acción de la Conferencia Internacional sobre la Población y el Desarrollo  la Plataforma de Acción de Beijing y los documentos finales de sus conferencias de examen.;"sexual  reproductiva  mujer  niñas  anticoncepción  embarazo   uso de DIU  dispositivo intrauterino  condón  condón femenino  T  pastas  pastillas  píldora  inyección
acceso pleno  gratuito  facil  educación integral para la sexualidad  educación sexual fecundidad en adolescentes  embarazadas primer hijo  embarazo subsiguiente  actividad sexual reciente   ";5.6 Asegurar el acceso universal a la salud sexual y reproductiva y los derechos reproductivos según lo acordado de conformidad con el Programa de Acción de la Conferencia Internacional sobre la Población y el Desarrollo  la Plataforma de Acción de Beijing y los documentos finales de sus conferencias de examen.
45;5;5.7;a;Emprender reformas que otorguen a las mujeres igualdad de derechos a los recursos económicos  así como acceso a la propiedad y al control de la tierra y otros tipos de bienes  los servicios financieros  la herencia y los recursos naturales  de conformidad con las leyes nacionales.;derechos de mujeres  acceso a oportunidades  mujer  niña  igualdad de género campesinas  agricultoras  dueñas  tierras  fincas  casa  propietarias  titulares  leyes  ley  marco legal  igauldad  brecha Brecha de ingreso entre hombres y mujeres   ;5.a Emprender reformas que otorguen a las mujeres igualdad de derechos a los recursos económicos  así como acceso a la propiedad y al control de la tierra y otros tipos de bienes  los servicios financieros  la herencia y los recursos naturales  de conformidad con las leyes nacionales.
46;5;5.8;b;Mejorar el uso de la tecnología instrumental  en particular la tecnología de la información y las comunicaciones  para promover el empoderamiento de las mujeres.;empoderamiento  mujer  niña  tecnología  emprendimiento poseen  tienen  teléfono móvil  celular  teléfono  smarthphone  inteligente  tactil mujeres con celular  mujeres con computador  mujeres con internet   ;5.b Mejorar el uso de la tecnología instrumental  en particular la tecnología de la información y las comunicaciones  para promover el empoderamiento de las mujeres.
47;5;5.9;c;Aprobar y fortalecer políticas acertadas y leyes aplicables para promover la igualdad de género y el empoderamiento de todas las mujeres y las niñas a todos los niveles.;igualdad de género  paridad de género  mujer seguimiento  control  empoderamiento  asignación de fondos  presupuesto  plata    ;5.c Aprobar y fortalecer políticas acertadas y leyes aplicables para promover la igualdad de género y el empoderamiento de todas las mujeres y las niñas a todos los niveles.
48;6;6.1;1;Lograr el acceso universal y equitativo al agua potable a un precio asequible para todos.;acueducto  agua potable  aguas  higiene  servicios    abastecimioento de agua   consumo humano de agua    agua potable  abastecimiento de agua  redes de servicios públicos   ;6.1 Lograr el acceso universal y equitativo al agua potable a un precio asequible para todos.
49;6;6.2;2;Lograr el acceso a servicios de saneamiento e higiene adecuados y equitativos para todos y poner fin a la defecación al aire libre  prestando especial atención a las necesidades de las mujeres y las niñas y las personas en situaciones de vulnerabilidad.;acceso servicios públicos  acueducto  saneamiento de agua  beber agua  agua potable  higiene  métodos de saneamiento básico  saneamiento básico  pozo séptico  letrina   ptar;6.2 Lograr el acceso a servicios de saneamiento e higiene adecuados y equitativos para todos y poner fin a la defecación al aire libre  prestando especial atención a las necesidades de las mujeres y las niñas y las personas en situaciones de vulnerabilidad.
50;6;6.3;3;Mejorar la calidad del agua reduciendo la contaminación  eliminando el vertimiento y minimizando la emisión de productos químicos y materiales peligrosos  reduciendo a la mitad el porcentaje de aguas residuales sin tratar y aumentando considerablemente el reciclado y la reutilización sin riesgos a nivel mundial.;agua  agua potable  reciclaje  contaminación  tratamiento de agua  residuos   aguas residuales  aguas dométicas    sistemas de tratamiento  plantas de tratamiento  planta de tratamiento de aguas residuales  PTAR  ;6.3 Mejorar la calidad del agua reduciendo la contaminación  eliminando el vertimiento y minimizando la emisión de productos químicos y materiales peligrosos  reduciendo a la mitad el porcentaje de aguas residuales sin tratar y aumentando considerablemente el reciclado y la reutilización sin riesgos a nivel mundial.
51;6;6.4;4;Aumentar considerablemente el uso eficiente de los recursos hídricos en todos los sectores y asegurar la sostenibilidad de la extracción y el abastecimiento de agua dulce para hacer frente a la escasez de agua y reducir considerablemente el número de personas que sufren falta de agua.;agua  agua dulce  río  recursos hídricos  acceso    subzonas hidrográficas  Productividad hídrica  fuentes abastecedoras  aguas superficiales  aguas subterráneas  concesiones de aguas  acueducto veredal  acueducto rural  fuentes hídricas  río  quebrada  humedal  nacimiento de agua  acuífero  acuífero de Tunja  acabando el agua  reduciendo los caudales;6.4 Aumentar considerablemente el uso eficiente de los recursos hídricos en todos los sectores y asegurar la sostenibilidad de la extracción y el abastecimiento de agua dulce para hacer frente a la escasez de agua y reducir considerablemente el número de personas que sufren falta de agua.
52;6;6.5;5;Implementar la gestión integrada de los recursos hídricos a todos los niveles  incluso mediante la cooperación transfronteriza  según proceda.;recursos hídricos  Ordenación y Manejo de Cuencas Hidrográficas;6.5 Implementar la gestión integrada de los recursos hídricos a todos los niveles  incluso mediante la cooperación transfronteriza  según proceda.
53;6;6.6;6;Proteger y restablecer los ecosistemas relacionados con el agua  incluidos los bosques  las montañas  los humedales  los ríos  los acuíferos y los lagos.;ríos  humedales  bosques  acuíferos  lagos  proteger  protección  ecosistema      páramo  reserva forestal protectora  reserva El Malmo  fuentes hídricas  río  quebrada  humedal  nacimiento de agua  acuífero  acuífero de Tunja  fuentes abastecedoras  aguas superficiales  aguas subterráneas  ;6.6 Proteger y restablecer los ecosistemas relacionados con el agua  incluidos los bosques  las montañas  los humedales  los ríos  los acuíferos y los lagos.
54;6;6.7;a;Ampliar la cooperación internacional y el apoyo prestado a los países en desarrollo para la creación de capacidad en actividades y programas relativos al agua y el saneamiento  como los de captación de agua  desalinización  uso eficiente de los recursos hídricos  tratamiento de aguas residuales  reciclado y tecnologías de reutilización.;agua  saneamiento de agua  acueducto  tratamiento de agua  recurso hídirco  aguas residuales  residuos      ;6.a Ampliar la cooperación internacional y el apoyo prestado a los países en desarrollo para la creación de capacidad en actividades y programas relativos al agua y el saneamiento  como los de captación de agua  desalinización  uso eficiente de los recursos hídricos  tratamiento de aguas residuales  reciclado y tecnologías de reutilización.
55;6;6.8;b;Apoyar y fortalecer la participación de las comunidades locales en la mejora de la gestión del agua y el saneamiento.;gestión del agua  saneamiento  acueducto  cuidado del agua  desperdicio de agua     gestión del recurso hídrico  gestión integral del recurso hídrico  cuencas hidrográficas  plan de ordenación y manejo de cuencas hidrográficas  POMCA  ;6.b Apoyar y fortalecer la participación de las comunidades locales en la mejora de la gestión del agua y el saneamiento.
56;7;7.1;1;Garantizar el acceso universal a servicios energéticos asequibles  fiables y modernos.;acceso servicio público  luz  energía  electricidad  recibo  Cobertura de energía eléctrica   ;7.1 Garantizar el acceso universal a servicios energéticos asequibles  fiables y modernos.
57;7;7.2;2;Aumentar considerablemente la proporción de energía renovable en el conjunto de fuentes energéticas.;energía renovable  energía alternativa  contaminación  energía solar  energía eólica  energía térmica  energía limpia  gasolina  petróleo  capacidad instalada de fuentes renovables  fuentes alternativas de electricidad  páneles solares ;7.2 Aumentar considerablemente la proporción de energía renovable en el conjunto de fuentes energéticas.
58;7;7.3;3;Duplicar la tasa mundial de mejora de la eficiencia energética.;eficiencia energética  Intensidad energética   ;7.3 Duplicar la tasa mundial de mejora de la eficiencia energética.
59;7;7.4;a;Aumentar la cooperación internacional para facilitar el acceso a la investigación y la tecnología relativas a la energía limpia  incluidas las fuentes renovables  la eficiencia energética y las tecnologías avanzadas y menos contaminantes de combustibles fósiles  y promover la inversión en infraestructura energética y tecnologías limpias.;tecnología  investigación  energía renovable  energía limpia     ;7.a Aumentar la cooperación internacional para facilitar el acceso a la investigación y la tecnología relativas a la energía limpia  incluidas las fuentes renovables  la eficiencia energética y las tecnologías avanzadas y menos contaminantes de combustibles fósiles  y promover la inversión en infraestructura energética y tecnologías limpias.
60;7;7.5;b;Ampliar la infraestructura y mejorar la tecnología para prestar servicios energéticos modernos y sostenibles para todos en los países en desarrollo  en particular los países menos adelantados  los pequeños Estados insulares en desarrollo y los países en desarrollo sin litoral  en consonancia con sus respectivos programas de apoyo.;servicios públicos  acceso a energía  energía renovable  energía sostenible     ;7.b Ampliar la infraestructura y mejorar la tecnología para prestar servicios energéticos modernos y sostenibles para todos en los países en desarrollo  en particular los países menos adelantados  los pequeños Estados insulares en desarrollo y los países en desarrollo sin litoral  en consonancia con sus respectivos programas de apoyo.
61;8;8.1;1;Mantener el crecimiento económico per cápita de conformidad con las circunstancias nacionales y  en particular  un crecimiento del producto interno bruto de al menos el 7% anual en los países menos adelantados.;crecimiento económico  economía  oportunidad  productividad   atracción económica  suelo disponible para atraer inversión  oportunidades de negocios  reactivación económica  ciudad turística  marketing de ciudad  industria turística  agroindustria  emprendimientos    ;8.1 Mantener el crecimiento económico per cápita de conformidad con las circunstancias nacionales y  en particular  un crecimiento del producto interno bruto de al menos el 7% anual en los países menos adelantados.
62;8;8.2;2;Lograr niveles más elevados de productividad económica mediante la diversificación  la modernización tecnológica y la innovación  entre otras cosas centrándose en los sectores con gran valor añadido y un uso intensivo de la mano de obra.;productividad económica  modernizar  tecnificar     ;8.2 Lograr niveles más elevados de productividad económica mediante la diversificación  la modernización tecnológica y la innovación  entre otras cosas centrándose en los sectores con gran valor añadido y un uso intensivo de la mano de obra.
63;8;8.3;3;Promover políticas orientadas al desarrollo que apoyen las actividades productivas  la creación de puestos de trabajo decentes  el emprendimiento  la creatividad y la innovación  y fomentar la formalización y el crecimiento de las microempresas y las pequeñas y medianas empresas  incluso mediante el acceso a servicios financieros.;creación de trabajo  creación de empleo  oportunidad de trabajo  oportunidad laboral  emprendimiento  innovación  creatividad  empresas  microempresa     microcomercio ilegal  habilitación suelos para usos comerciales y servicios    ;8.3 Promover políticas orientadas al desarrollo que apoyen las actividades productivas  la creación de puestos de trabajo decentes  el emprendimiento  la creatividad y la innovación  y fomentar la formalización y el crecimiento de las microempresas y las pequeñas y medianas empresas  incluso mediante el acceso a servicios financieros.
64;8;8.4;4;Mejorar progresivamente  de aquí a 2030  la producción y el consumo eficientes de los recursos mundiales y procurar desvincular el crecimiento económico de la degradación del medio ambiente  conforme al Marco Decenal de Programas sobre Modalidades de Consumo y Producción Sostenibles  empezando por los países desarrollados.;producción  producción sostenible  emisiones  cambio climático  crecimiento económico  medio ambiente  consumo eficiente     ;8.4 Mejorar progresivamente  de aquí a 2030  la producción y el consumo eficientes de los recursos mundiales y procurar desvincular el crecimiento económico de la degradación del medio ambiente  conforme al Marco Decenal de Programas sobre Modalidades de Consumo y Producción Sostenibles  empezando por los países desarrollados.
65;8;8.5;5;Lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres  incluidos los jóvenes y las personas con discapacidad  así como la igualdad de remuneración por trabajo de igual valor.;creación de trabajo  creación de empleo  oportunidad de trabajo  oportunidad laboral  discriminación  igualdad  acceso   empleo para jóvenes  falta de experiencia desempleo ;8.5 Lograr el empleo pleno y productivo y el trabajo decente para todas las mujeres y los hombres  incluidos los jóvenes y las personas con discapacidad  así como la igualdad de remuneración por trabajo de igual valor.
66;8;8.6;6;Reducir considerablemente la proporción de jóvenes que no están empleados y no cursan estudios ni reciben capacitación.;jóven  jóvenes  falta de oportunidades  falta de empleo  trabajo desempleo formación educación  estudio  juventud  empleo juvenil     jóvenes desempleados ;8.6 Reducir considerablemente la proporción de jóvenes que no están empleados y no cursan estudios ni reciben capacitación.
67;8;8.7;7;Adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso  poner fin a las formas contemporáneas de esclavitud y la trata de personas y asegurar la prohibición y eliminación de las peores formas de trabajo infantil  incluidos el reclutamiento y la utilización de niños soldados  y  de aquí a 2025  poner fin al trabajo infantil en todas sus formas.;trabajo forzoso  esclavitud  trabajo infantil  reclutamiento  ;8.7 Adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso  poner fin a las formas contemporáneas de esclavitud y la trata de personas y asegurar la prohibición y eliminación de las peores formas de trabajo infantil  incluidos el reclutamiento y la utilización de niños soldados  y  de aquí a 2025  poner fin al trabajo infantil en todas sus formas.
68;8;8.8;8;Proteger los derechos laborales y promover un entorno de trabajo seguro y sin riesgos para todos los trabajadores  incluidos los trabajadores migrantes  en particular las mujeres migrantes y las personas con empleos precarios.;trabajo seguro  derechos laborales  migrantes     ;8.8 Proteger los derechos laborales y promover un entorno de trabajo seguro y sin riesgos para todos los trabajadores  incluidos los trabajadores migrantes  en particular las mujeres migrantes y las personas con empleos precarios.
69;8;8.9;9;De aquí a 2030  elaborar y poner en práctica políticas encaminadas a promover un turismo sostenible que cree puestos de trabajo y promueva la cultura y los productos locales.;turismo  local  economía       productos locales  artesanías  artesanos;8.9 De aquí a 2030  elaborar y poner en práctica políticas encaminadas a promover un turismo sostenible que cree puestos de trabajo y promueva la cultura y los productos locales.
70;8;8.1;10;Fortalecer la capacidad de las instituciones financieras nacionales para fomentar y ampliar el acceso a los servicios bancarios  financieros y de seguros para todos.;acceso a servicios bancarios  bancos  financiero  finanzas  crédito      ;8.10 Fortalecer la capacidad de las instituciones financieras nacionales para fomentar y ampliar el acceso a los servicios bancarios  financieros y de seguros para todos.
71;8;8.11;a;Aumentar el apoyo a la iniciativa de ayuda para el comercio en los países en desarrollo  en particular los países menos adelantados  incluso mediante el Marco Integrado Mejorado para la Asistencia Técnica a los Países Menos Adelantados en Materia de Comercio.;comercio  economía     ;8.a Aumentar el apoyo a la iniciativa de ayuda para el comercio en los países en desarrollo  en particular los países menos adelantados  incluso mediante el Marco Integrado Mejorado para la Asistencia Técnica a los Países Menos Adelantados en Materia de Comercio.
72;8;8.12;b;"De aquí a 2020  desarrollar y poner en marcha una estrategia mundial para el empleo de los jóvenes y aplicar el Pacto Mundial para el Empleo de la Organización
Internacional del Trabajo.";empleo jóvenes  empleo juvenil     ;"8.b De aquí a 2020  desarrollar y poner en marcha una estrategia mundial para el empleo de los jóvenes y aplicar el Pacto Mundial para el Empleo de la Organización
Internacional del Trabajo."
73;9;9.1;1;Desarrollar infraestructuras fiables  sostenibles  resilientes y de calidad  incluidas infraestructuras regionales y transfronterizas  para apoyar el desarrollo económico y el bienestar humano  haciendo especial hincapié en el acceso asequible y equitativo para todos.;infraestructura   carreteras  vías calle transporte   equipamientos  espacio público movilidad  puente señalización vías  ciclorutas  carrera avenida;9.1 Desarrollar infraestructuras fiables  sostenibles  resilientes y de calidad  incluidas infraestructuras regionales y transfronterizas  para apoyar el desarrollo económico y el bienestar humano  haciendo especial hincapié en el acceso asequible y equitativo para todos.
74;9;9.2;2;Promover una industrialización inclusiva y sostenible y  de aquí a 2030  aumentar significativamente la contribución de la industria al empleo y al producto interno bruto  de acuerdo con las circunstancias nacionales  y duplicar esa contribución en los países menos adelantados.;industrialización  industria  empleo     ;9.2 Promover una industrialización inclusiva y sostenible y  de aquí a 2030  aumentar significativamente la contribución de la industria al empleo y al producto interno bruto  de acuerdo con las circunstancias nacionales  y duplicar esa contribución en los países menos adelantados.
75;9;9.3;3;Aumentar el acceso de las pequeñas industrias y otras empresas  particularmente en los países en desarrollo  a los servicios financieros  incluidos créditos asequibles  y su integración en las cadenas de valor y los mercados.;servicios financieros  banco  crédito  industria  empresa     ;9.3 Aumentar el acceso de las pequeñas industrias y otras empresas  particularmente en los países en desarrollo  a los servicios financieros  incluidos créditos asequibles  y su integración en las cadenas de valor y los mercados.
