id;id_objetivo;llave;meta_id;meta_texto;terminos;met_conc
147;17;17.5;6;Mejorar la cooperación regional e internacional NorteSur  Sur-Sur y triangular en materia de ciencia  tecnología e innovación y el acceso a estas  y aumentar el intercambio de conocimientos en condiciones mutuamente convenidas  incluso mejorando la coordinación entre los mecanismos existentes  en particular a nivel de las Naciones Unidas  y mediante un mecanismo mundial de facilitación de la tecnología.;ciencia  tecnología  innovación   Intercambios  ;17.6 Mejorar la cooperación regional e internacional NorteSur  Sur-Sur y triangular en materia de ciencia  tecnología e innovación y el acceso a estas  y aumentar el intercambio de conocimientos en condiciones mutuamente convenidas  incluso mejorando la coordinación entre los mecanismos existentes  en particular a nivel de las Naciones Unidas  y mediante un mecanismo mundial de facilitación de la tecnología.
148;17;17.6;7;Promover el desarrollo de tecnologías ecológicamente racionales y su transferencia  divulgación y difusión a los países en desarrollo en condiciones favorables  incluso en condiciones concesionarias y preferenciales  según lo convenido de mutuo acuerdo.;desarrollo de tecnologías ecológicamente racionales y su transferencia  divulgación y difusión     ;17.7 Promover el desarrollo de tecnologías ecológicamente racionales y su transferencia  divulgación y difusión a los países en desarrollo en condiciones favorables  incluso en condiciones concesionarias y preferenciales  según lo convenido de mutuo acuerdo.
149;17;17.7;8;Poner en pleno funcionamiento  a más tardar en 2017  el banco de tecnología y el mecanismo de apoyo a la creación de capacidad en materia de ciencia  tecnología e innovación para los países menos adelantados y aumentar la utilización de tecnologías instrumentales  en particular la tecnología de la información y las comunicaciones.;ciencia  tecnología  innovación  tecnología de información  tecnología de comunicación      ;17.8 Poner en pleno funcionamiento  a más tardar en 2017  el banco de tecnología y el mecanismo de apoyo a la creación de capacidad en materia de ciencia  tecnología e innovación para los países menos adelantados y aumentar la utilización de tecnologías instrumentales  en particular la tecnología de la información y las comunicaciones.
150;17;17.8;9;Aumentar el apoyo internacional para realizar actividades de creación de capacidad eficaces y específicas en los países en desarrollo a fin de respaldar los planes nacionales de implementación de todos los Objetivos de Desarrollo Sostenible  incluso mediante la cooperación Norte-Sur  Sur-Sur y triangular.;implementación objetivos de desarrollo sostenible     ;17.9 Aumentar el apoyo internacional para realizar actividades de creación de capacidad eficaces y específicas en los países en desarrollo a fin de respaldar los planes nacionales de implementación de todos los Objetivos de Desarrollo Sostenible  incluso mediante la cooperación Norte-Sur  Sur-Sur y triangular.
151;17;17.9;10;Promover un sistema de comercio multilateral universal  basado en normas  abierto  no discriminatorio y equitativo en el marco de la Organización Mundial del Comercio  incluso mediante la conclusión de las negociaciones en el marco del Programa de Doha para el Desarrollo.;comercio  comercio multilateral  comercio abierto  comercio equitativo     ;17.10 Promover un sistema de comercio multilateral universal  basado en normas  abierto  no discriminatorio y equitativo en el marco de la Organización Mundial del Comercio  incluso mediante la conclusión de las negociaciones en el marco del Programa de Doha para el Desarrollo.
152;17;17.1;11;Aumentar significativamente las exportaciones de los países en desarrollo  en particular con miras a duplicar la participación de los países menos adelantados en las exportaciones mundiales de aquí a 2020.;exportación  exportaciones     ;17.11 Aumentar significativamente las exportaciones de los países en desarrollo  en particular con miras a duplicar la participación de los países menos adelantados en las exportaciones mundiales de aquí a 2020.
153;17;17.11;12;Lograr la consecución oportuna del acceso a los mercados libre de derechos y contingentes de manera duradera para todos los países menos adelantados  conforme a las decisiones de la Organización Mundial del Comercio  incluso velando por que las normas de origen preferenciales aplicables a las importaciones de los países menos adelantados sean transparentes y sencillas y contribuyan a facilitar el acceso a los mercados.;mercado libre  acceso a mercados     ;17.12 Lograr la consecución oportuna del acceso a los mercados libre de derechos y contingentes de manera duradera para todos los países menos adelantados  conforme a las decisiones de la Organización Mundial del Comercio  incluso velando por que las normas de origen preferenciales aplicables a las importaciones de los países menos adelantados sean transparentes y sencillas y contribuyan a facilitar el acceso a los mercados.
154;17;17.12;13;Aumentar la estabilidad macroeconómica mundial  incluso mediante la coordinación y coherencia de las políticas.;estabilidad macroeconomía  indicadores macroeconómicos  ;17.13 Aumentar la estabilidad macroeconómica mundial  incluso mediante la coordinación y coherencia de las políticas.
155;17;17.13;14;Mejorar la coherencia de las políticas para el desarrollo sostenible.;políticas para el desarrollo sostenible     ;17.14 Mejorar la coherencia de las políticas para el desarrollo sostenible.
156;17;17.14;15;Respetar el margen normativo y el liderazgo de cada país para establecer y aplicar políticas de erradicación de la pobreza y desarrollo sostenible.;política margen normativo ;17.15 Respetar el margen normativo y el liderazgo de cada país para establecer y aplicar políticas de erradicación de la pobreza y desarrollo sostenible.
157;17;17.15;17;Fomentar y promover la constitución de alianzas eficaces en las esferas pública  público-privada y de la sociedad civil  aprovechando la experiencia y las estrategias de obtención de recursos de las alianzas.;alianza público privado  cooperación  sociedad civil     ;17.17 Fomentar y promover la constitución de alianzas eficaces en las esferas pública  público-privada y de la sociedad civil  aprovechando la experiencia y las estrategias de obtención de recursos de las alianzas.
158;17;17.16;18;Mejorar el apoyo a la creación de capacidad prestado a los países en desarrollo  incluidos los países menos adelantados y los pequeños Estados insulares en desarrollo  para aumentar significativamente la disponibilidad de datos oportunos  fiables y de gran calidad desglosados por ingresos  sexo  edad  raza  origen étnico  estatus migratorio  discapacidad  ubicación geográfica y otras características pertinentes en los contextos nacionales.;datos  datos abiertos  información  datos de calidad  datos completos     ;17.18 Mejorar el apoyo a la creación de capacidad prestado a los países en desarrollo  incluidos los países menos adelantados y los pequeños Estados insulares en desarrollo  para aumentar significativamente la disponibilidad de datos oportunos  fiables y de gran calidad desglosados por ingresos  sexo  edad  raza  origen étnico  estatus migratorio  discapacidad  ubicación geográfica y otras características pertinentes en los contextos nacionales.
159;17;17.17;19;De aquí a 2030  aprovechar las iniciativas existentes para elaborar indicadores que permitan medir los progresos en materia de desarrollo sostenible y complementen el producto interno bruto  y apoyar la creación de capacidad estadística en los países en desarrollo.;indicador  medición  datos  estadística  capacidad estadística     ;17.19 De aquí a 2030  aprovechar las iniciativas existentes para elaborar indicadores que permitan medir los progresos en materia de desarrollo sostenible y complementen el producto interno bruto  y apoyar la creación de capacidad estadística en los países en desarrollo.
